"cell_id","comment","POS"
"real-yo.neg.pass.1.pl.mult",,"verb"
"real-yo.neg.pass.2.pl.neut",,"verb"
"real-yo.neg.pass.2.pl.mult",,"verb"
"real-yo.neg.pass.3.pl.neut",,"verb"
"real-yo.neg.pass.3.pl.mult",,"verb"
"real-emph.pos.1.sg.neut",,"verb"
"real-emph.pos.1.sg.mult",,"verb"
"real-emph.pos.1.sg.dist",,"verb"
"real-emph.pos.2.sg.neut",,"verb"
"real-emph.pos.2.sg.mult",,"verb"
"real-emph.pos.2.sg.dist",,"verb"
"real-emph.pos.3.sg.neut",,"verb"
"real-emph.pos.3.sg.mult",,"verb"
"real-emph.pos.3.sg.dist",,"verb"
"real-emph.pos.1.pl.neut",,"verb"
"real-emph.pos.1.pl.mult",,"verb"
"real-emph.pos.2.pl.neut",,"verb"
"real-emph.pos.2.pl.mult",,"verb"
"real-emph.pos.3.pl.neut",,"verb"
"real-emph.pos.3.pl.mult",,"verb"
"real-emph.pos.pass.1.sg.neut",,"verb"
"real-emph.pos.pass.1.sg.mult",,"verb"
"real-emph.pos.pass.1.sg.dist",,"verb"
"real-emph.pos.pass.2.sg.neut",,"verb"
"real-emph.pos.pass.2.sg.mult",,"verb"
"real-emph.pos.pass.2.sg.dist",,"verb"
"real-emph.pos.pass.3.sg.neut",,"verb"
"real-emph.pos.pass.3.sg.mult",,"verb"
"real-emph.pos.pass.3.sg.dist",,"verb"
"real-emph.pos.pass.1.pl.neut",,"verb"
"real-emph.pos.pass.1.pl.mult",,"verb"
"real-emph.pos.pass.2.pl.neut",,"verb"
"real-emph.pos.pass.2.pl.mult",,"verb"
"real-emph.pos.pass.3.pl.neut",,"verb"
"real-emph.pos.pass.3.pl.mult",,"verb"
"real-emph.neg.1.sg.neut",,"verb"
"real-emph.neg.1.sg.mult",,"verb"
"real-emph.neg.1.sg.dist",,"verb"
"real-emph.neg.2.sg.neut",,"verb"
"real-emph.neg.2.sg.mult",,"verb"
"real-emph.neg.2.sg.dist",,"verb"
"real-emph.neg.3.sg.neut",,"verb"
"real-emph.neg.3.sg.mult",,"verb"
"real-emph.neg.3.sg.dist",,"verb"
"real-emph.neg.1.pl.neut",,"verb"
"real-emph.neg.1.pl.mult",,"verb"
"real-emph.neg.2.pl.neut",,"verb"
"real-emph.neg.2.pl.mult",,"verb"
"real-emph.neg.3.pl.neut",,"verb"
"real-emph.neg.3.pl.mult",,"verb"
"real-emph.neg.pass.1.sg.neut",,"verb"
"real-emph.neg.pass.1.sg.mult",,"verb"
"real-emph.neg.pass.1.sg.dist",,"verb"
"real-emph.neg.pass.2.sg.neut",,"verb"
"real-emph.neg.pass.2.sg.mult",,"verb"
"real-emph.neg.pass.2.sg.dist",,"verb"
"real-emph.neg.pass.3.sg.neut",,"verb"
"real-emph.neg.pass.3.sg.mult",,"verb"
"real-emph.neg.pass.3.sg.dist",,"verb"
"real-emph.neg.pass.1.pl.neut",,"verb"
"real-emph.neg.pass.1.pl.mult",,"verb"
"real-emph.neg.pass.2.pl.neut",,"verb"
"real-emph.neg.pass.2.pl.mult",,"verb"
"real-emph.neg.pass.3.pl.neut",,"verb"
"real-emph.neg.pass.3.pl.mult",,"verb"
"irr-dep.pos.1.sg.neut",,"verb"
"irr-dep.pos.1.sg.mult",,"verb"
"irr-dep.pos.1.sg.dist",,"verb"
"irr-dep.pos.2.sg.neut",,"verb"
"irr-dep.pos.2.sg.mult",,"verb"
"irr-dep.pos.2.sg.dist",,"verb"
"irr-dep.pos.3.sg.neut",,"verb"
"irr-dep.pos.3.sg.mult",,"verb"
"irr-dep.pos.3.sg.dist",,"verb"
"irr-dep.pos.1.pl.neut",,"verb"
"irr-dep.pos.1.pl.mult",,"verb"
"irr-dep.pos.2.pl.neut",,"verb"
"irr-dep.pos.2.pl.mult",,"verb"
"irr-dep.pos.3.pl.neut",,"verb"
"irr-dep.pos.3.pl.mult",,"verb"
"irr-dep.pos.pass.1.sg.neut",,"verb"
"irr-dep.pos.pass.1.sg.mult",,"verb"
"irr-dep.pos.pass.1.sg.dist",,"verb"
"irr-dep.pos.pass.2.sg.neut",,"verb"
"irr-dep.pos.pass.2.sg.mult",,"verb"
"irr-dep.pos.pass.2.sg.dist",,"verb"
"irr-dep.pos.pass.3.sg.neut",,"verb"
"irr-dep.pos.pass.3.sg.mult",,"verb"
"irr-dep.pos.pass.3.sg.dist",,"verb"
"irr-dep.pos.pass.1.pl.neut",,"verb"
"irr-dep.pos.pass.1.pl.mult",,"verb"
"irr-dep.pos.pass.2.pl.neut",,"verb"
"irr-dep.pos.pass.2.pl.mult",,"verb"
"irr-dep.pos.pass.3.pl.neut",,"verb"
"irr-dep.pos.pass.3.pl.mult",,"verb"
"irr-dep.neg.1.sg.neut",,"verb"
"irr-dep.neg.1.sg.mult",,"verb"
"irr-dep.neg.1.sg.dist",,"verb"
"irr-dep.neg.2.sg.neut",,"verb"
"irr-dep.neg.2.sg.mult",,"verb"
"irr-dep.neg.2.sg.dist",,"verb"
